lag_samples,lag_ms,correlation_i64f64,correlation_f64,delta
0,0.0000,0.858268993228459,0.858268993228458,9.992007e-16
1,0.2441,-0.863270557678685,-0.863270557678690,4.773959e-15
2,0.4883,0.868302662365187,0.868302662365186,1.443290e-15
3,0.7324,-0.873361005333963,-0.873361005333963,3.330669e-16
4,0.9766,0.878414248737208,0.878414248737209,8.881784e-16
5,1.2207,-0.883326436333160,-0.883326436333157,3.330669e-15
6,1.4648,0.888432135909041,0.888432135909040,9.992007e-16
7,1.7090,-0.893489351708350,-0.893489351708348,1.221245e-15
8,1.9531,0.898389940828964,0.898389940828967,2.331468e-15
9,2.1973,-0.903439908552093,-0.903439908552087,6.328271e-15
10,2.4414,0.908453434450803,0.908453434450802,6.661338e-16
11,2.6855,-0.913331274672221,-0.913331274672220,8.881784e-16
12,2.9297,0.918476423795040,0.918476423795039,7.771561e-16
13,3.1738,-0.923441994589913,-0.923441994589916,2.442491e-15
14,3.4180,0.928412522499588,0.928412522499590,1.221245e-15
15,3.6621,-0.933538209090406,-0.933538209090408,1.443290e-15
16,3.9062,0.938561301622027,0.938561301622022,4.551914e-15
17,4.1504,-0.943499864984740,-0.943499864984740,4.440892e-16
18,4.3945,0.948524713338381,0.948524713338379,1.887379e-15
19,4.6387,-0.953563753812376,-0.953563753812380,3.663736e-15
20,4.8828,0.958531982551033,0.958531982551036,2.442491e-15
21,5.1270,-0.963588606426999,-0.963588606426998,2.220446e-16
22,5.3711,0.968570649005468,0.968570649005466,1.998401e-15
23,5.6152,-0.973557243406053,-0.973557243406052,6.661338e-16
24,5.8594,0.978599503053781,0.978599503053781,3.330669e-16
25,6.1035,-0.983654399661764,-0.983654399661765,1.110223e-15
26,6.3477,0.988691276069673,0.988691276069672,1.665335e-15
27,6.5918,-0.993660327181904,-0.993660327181906,1.665335e-15
28,6.8359,0.998662719783272,0.998662719783271,6.661338e-16
29,7.0801,-0.993686068729267,-0.993686068729266,1.221245e-15
30,7.3242,0.988630227867388,0.988630227867393,5.107026e-15
31,7.5684,-0.983726596627951,-0.983726596627948,2.331468e-15
32,7.8125,0.978847717914568,0.978847717914570,1.887379e-15
33,8.0566,-0.973833041963923,-0.973833041963919,3.663736e-15
34,8.3008,0.968831531852659,0.968831531852656,3.330669e-15
35,8.5449,-0.963925915318024,-0.963925915318023,9.992007e-16
36,8.7891,0.958913620353213,0.958913620353215,1.776357e-15
37,9.0332,-0.954009115965792,-0.954009115965786,5.440093e-15
38,9.2773,0.949071395822304,0.949071395822302,2.553513e-15
39,9.5215,-0.944053455360680,-0.944053455360678,2.331468e-15
40,9.7656,0.939031166422336,0.939031166422337,1.332268e-15
41,10.0098,-0.934067595551455,-0.934067595551455,2.220446e-16
42,10.2539,0.929067229264811,0.929067229264810,4.440892e-16
43,10.4980,-0.924020266834923,-0.924020266834924,1.221245e-15
44,10.7422,0.919095727927977,0.919095727927977,5.551115e-16
45,10.9863,-0.914096655862971,-0.914096655862970,7.771561e-16
46,11.2305,0.909009482004267,0.909009482004266,6.661338e-16
47,11.4746,-0.904010915730651,-0.904010915730652,8.881784e-16
48,11.7188,0.899015827978005,0.899015827978005,1.110223e-16
49,11.9629,-0.893963988659609,-0.893963988659612,2.886580e-15
50,12.2070,0.888941671766322,0.888941671766319,2.886580e-15
